datetime,pm1,pm25,relativehumidity,temperature,um003
2026-02-27 08:00:00+07:00,1.8,4.3,60.0,24.6,610.0
2026-02-27 09:00:00+07:00,1.2,3.4,57.0,25.0,520.0
2026-02-27 10:00:00+07:00,1.2,3.5,54.0,25.9,527.0
2026-02-27 11:00:00+07:00,1.5,3.9,56.0,26.5,581.0
2026-02-27 12:00:00+07:00,7.7,15.9,56.0,27.0,1698.0
2026-02-27 13:00:00+07:00,28.4,54.0,53.0,26.4,6858.0
2026-02-27 14:00:00+07:00,28.2,47.4,49.0,20.3,6477.0
2026-02-27 15:00:00+07:00,22.9,38.3,43.0,23.3,4614.0
2026-02-27 16:00:00+07:00,17.9,31.2,43.0,26.5,3478.0
2026-02-27 17:00:00+07:00,16.0,28.5,45.0,26.4,3087.0
2026-02-27 18:00:00+07:00,15.1,27.0,46.0,25.9,2933.0
2026-02-27 19:00:00+07:00,13.2,24.3,54.0,23.8,2589.0
2026-02-27 20:00:00+07:00,14.4,26.1,57.0,24.3,2785.0
2026-02-27 21:00:00+07:00,16.1,28.4,52.0,23.9,3078.0
2026-02-27 22:00:00+07:00,18.1,31.2,52.0,24.0,3489.0
2026-02-27 23:00:00+07:00,15.3,27.3,53.0,23.7,2948.0
2026-02-28 00:00:00+07:00,13.5,24.0,58.0,22.2,2610.0
2026-02-28 01:00:00+07:00,11.5,20.4,60.0,21.4,2244.0
2026-02-28 02:00:00+07:00,10.9,19.0,59.0,20.9,2105.0
2026-02-28 03:00:00+07:00,10.2,18.0,60.0,20.9,1977.0
2026-02-28 04:00:00+07:00,8.7,15.4,59.0,20.9,1731.0
2026-02-28 05:00:00+07:00,7.3,13.1,59.0,20.8,1480.0
2026-02-28 06:00:00+07:00,6.1,11.0,58.0,20.8,1279.0
2026-02-28 07:00:00+07:00,5.0,9.4,56.0,20.8,1084.0
2026-02-28 08:00:00+07:00,4.3,8.1,55.0,20.7,952.0
2026-02-28 09:00:00+07:00,3.9,7.4,55.0,20.6,890.0
2026-02-28 10:00:00+07:00,3.1,6.3,51.0,21.9,775.0
2026-02-28 11:00:00+07:00,2.6,5.7,49.0,22.4,716.0
2026-02-28 12:00:00+07:00,2.5,5.4,49.0,23.2,701.0
2026-02-28 13:00:00+07:00,2.5,5.4,47.0,24.7,731.0
2026-02-28 14:00:00+07:00,16.0,26.8,42.0,24.8,3181.0
2026-02-28 15:00:00+07:00,11.5,19.7,41.0,25.6,2318.0
2026-02-28 16:00:00+07:00,10.3,17.8,39.0,25.5,2110.0
2026-02-28 17:00:00+07:00,10.2,17.4,39.0,25.5,2069.0
2026-02-28 18:00:00+07:00,9.9,16.9,38.0,25.3,2029.0
2026-02-28 19:00:00+07:00,10.9,19.0,38.0,25.1,2186.0
2026-02-28 20:00:00+07:00,11.7,20.5,38.0,24.8,2334.0
2026-02-28 21:00:00+07:00,13.9,24.4,45.0,24.9,2714.0
2026-02-28 22:00:00+07:00,15.5,27.2,46.0,24.9,2988.0
2026-02-28 23:00:00+07:00,17.8,30.1,45.0,24.9,3428.0
2026-03-01 00:00:00+07:00,19.2,31.8,44.0,25.0,3689.0
2026-03-01 01:00:00+07:00,16.4,28.1,46.0,24.8,3194.0
2026-03-01 02:00:00+07:00,12.0,20.8,50.0,23.6,2313.0
2026-03-01 03:00:00+07:00,12.8,22.1,51.0,22.7,2430.0
2026-03-01 04:00:00+07:00,11.8,21.0,51.0,22.3,2289.0
2026-03-01 05:00:00+07:00,11.1,19.8,50.0,22.2,2169.0
2026-03-01 06:00:00+07:00,10.7,19.3,50.0,22.1,2109.0
2026-03-01 07:00:00+07:00,10.2,18.3,49.0,22.1,1989.0
2026-03-01 08:00:00+07:00,9.7,17.4,49.0,22.1,1906.0
2026-03-01 09:00:00+07:00,9.9,17.6,48.0,22.0,1924.0
2026-03-01 10:00:00+07:00,10.3,18.9,47.0,22.3,2034.0
2026-03-01 11:00:00+07:00,11.7,20.8,45.0,23.5,2282.0
2026-03-01 12:00:00+07:00,13.7,24.1,44.0,23.8,2611.0
2026-03-01 13:00:00+07:00,13.8,25.8,46.0,25.0,2701.0
2026-03-01 14:00:00+07:00,32.1,62.7,54.0,23.6,8217.0
2026-03-01 15:00:00+07:00,45.7,96.9,60.0,25.5,12412.0
2026-03-01 16:00:00+07:00,25.6,45.9,41.0,22.5,5754.0
2026-03-01 17:00:00+07:00,17.6,31.3,48.0,21.5,3268.0
2026-03-01 18:00:00+07:00,8.4,16.4,51.0,22.9,1717.0
2026-03-01 19:00:00+07:00,1.9,5.3,48.0,24.2,612.0
2026-03-01 20:00:00+07:00,2.7,6.7,48.0,23.8,751.0
2026-03-01 21:00:00+07:00,7.7,15.1,48.0,23.5,1614.0
2026-03-01 22:00:00+07:00,8.4,16.3,51.0,23.4,1721.0
